MUTUALIA
FUNDACIÓN PRIVADA HOSPITAL ASIL DE POBRES Y MALATS
FUNDACIÓN TOMAS COSTA
FUNDACIÓN BALEAR DE ATENCIÓN Y SOPORTE A LA DEPENDENCIA
FUNDACIÓN CARMEN BARBERA
FUNDACIÓ RESIDENCIA SANT ROC
FUNDACIÓN PRIVADA LES VETES
FUNDACIÓN ELISA MUÑOZ RODRIGUEZ
FUNDACIÓN LA ESPERANZA
FUNDACIÓN PRIVADA HOSPITAL BERENGUER DE CASTELLTORT
FUNDACIÓN FELIX DE LAS CUEVAS
FUNDACIÓN PARA ATENCIÓN Y CUIDADO INT. DE MAYORES
FUNDACIÓN FUSTEGUERA
FUNDACIÓN PRIVADA LLEGAT ROCA I PI
"RESIDENCIA LA TROBADA, S.L."
"RES. GERIATRICA GENESIS, II, S.L."
"PATRIMONIAL NATURE, S.L."
"RESIDENCIA FONTPINEDA 2000, S.L."
FUNDACIÓN ARUEJ
FUNDACIÓN PRIVADA REFUGIO DE OBRERAS
FUNDACIÓ CASA DE CARITAT
FUNDACIÓN STO. HOSPITAL GLORIOSO S. JUAN BAUTISTA
FUNDACIÓN SAN FRANCISCO DE ASIS
FUNDACIÓN PRIVADA MARIA AUXILIADORA
FUNDACIÓ PRIVADA ANTONIA ROURA BARBANY
FUNDACIÓN BENÉFICA SOCIAL LOS ÁNGELES
"RESIDENCIA 3 EDAD EL SOL, S.L."
"RES. GERIATRICA NOSTRA SENYORA, S.L."
"RESIDENCIAL GARRIGA, S.L."
"LLAR LA MATINADA, S.L."
"RESIDENCIA L'ESPLAI, S.L."
"RES. GER. TERCERA EDAT STA BERTA, S.L."
"CENTRE GERIATRIC CERDANYOLA, S.L."
"RESI. GERIATRIQUES BAELLS CARRERA, S.L."
"RESIDENCIA LA FONT, S.L."
"RESIDENCIES DE CATALUNYA, S.L."
CENTRO TERAPEUTICO Y GER. C.T.I.S.G. S.L
"RUBIMAES I, S.L."
"CLÍNICA BAVIERA ZAPATEROS, S.L. "
FUNDACIO PRIV. PALAFRUGELL GENT GRAN
HOSPITAL DE SANT CELONI FUNDACIÓ PRIVADA
"GRUPO DE PROFESIONALES DE LA SANIDAD PRIVADA, S.L."
"FOGAR SAN MIGUEL PONTE, S.L."
"RESIDENCIAS DEL NOROESTE, S.L."
"INVERSIONES SUR 2012, S.A."
"VITALIA SANT JUST, S.L."
"CENTRO DA TERC. IDADE COSTAS NOVO, S.L."
HOSPITAL PLATÓ
"VITALIA SANT ANDREU, S.L."
"RESIDENCIAS SOCIALES EDAD DE ORO, S.L."
"IVI BARCELONA, S.L."
FUNDACIO VILADEMANY
"VITALIA BAHIA, S.L."
"PROYECTOS TORRELODONES, S.L."
ARZOBISPADO DE MADRID
"GEROCONFOR, S.L."
"RESIDENCIAS MARISMAS DE GAMA, S.L."
"RESIDENCIA AZAHAR, S.L."
"RESIDENCIA DE ANCIANOS LA ZAIDA, S.C."
"DURAN RODRIGUEZ -CABAÑAS-, S.L."
"RESIDENCIA SANTA MARIA LA REAL, S.L."
EMPRESA PUBLICA HOSPITAL COSTA DEL SOL
"SANITARIA DEL SUR, S.L."
"RES. GERIATRICAS DE MARE NOSTRUM, S.A."
"POLICLÍNICA SAN PEDRO, S.A."
FUNDACIÓN FESAN
"RESIDENCIAL LA RECTORÍA, S.L."
"BRISMEDICAL, S.L."
"RESIDENCIAL YELES, S.L."
"RESIDENCIA VILOT, S.L."
"LLAR GERIATRICA RESIDENCIAL, S.L."
GERIATRIC GUIAMETS
"MARCOPEL 2003, S.L."
"RESIDENCIA EL JARDI 2000, S.L."
"ALPISER AYUDA A DOMICILIO, S.L."
"SERVICIOS ASISTENCIALES LA ZARZUELA, S.L."
"CENTRE RESIDENCIAL EL PLA, S.L."
"ASISTENCIA GERIÁTRICA CANARIA, S.L."
"RESIDENCIA DE MAYORES SAN MARCOS, S.L."
LLAR RES.PER A LA GENT GRAN LES PALMERES
"CRISEMI, S.L."
"R.NOSTRA SENYORA DEL REMEI, S.L."
"RESIDENCIA MULLERAT, S.A."
"ROCAGUERRA, S.L."
"SANATORIO LA ROBLEDA, S.L."
"CENTRO MEDICO PINTADO, S.L."
"SANATORIO PSIQUIÁTRICO SAN JOSÉ, S.A."
"CLÍNICA QUIRÚRGICA TAMBRE, S.A."
FUNDACIÓN HOSPITAL ASILO VILALBA
FUNDAC. PRIV. HOSPITAL RESID. SANT CAMIL
"LA LLAR DE L'AVIA MARIA, S.L.L."
"RESIDENCIAL MONTES DE TOLEDO, S.A."
"RESIDENCIA VERDEJA, S.L."
"YECORA TERCERA EDAD, S.L."
"ESFRARA, S.L."
"RESIDENCIA EL VERAL, S.L."
"PEGRE, S.L."
"RESIDENCIA OVIEDO, S.L."
"RESID. GERIATRICAS DE ASTURIAS, S.L."
"EMPORDA TERCERA EDAT, S.L."
"RESID. GERIAT. MARIA DE LA SALUD, S.L."
"CENTRE GERIATRIC LES FONTS, S.L."
"SERV. ASIST. DEL NORTE Y QUIJAS, S.L."
"FUENTE VENTURA, S.L."
"RESIDENCIA LUSANZ CANTABRIA, S.L."
"ANAI-ARTEAN, S.L."
"RESIDENCIA TERCERA EDAD MONTSERRAT, S.L."
"GERENCIA DEL PADRUN, S.L."
"RESIDENCIAS DE VETUSTA, S.L."
"RESIDENCIA GERIATRICA OLABE, S.L."
"RESID.TERCERA EDAD QUINTA VICTORIA, S.L."
"ASTUR ORIENTE ASISTENCIAL, S.L."
"RESIDENCIA USANSOLO, S.L."
"ZELAIGANE, S.L."
"RESIDENCIA ETXEDER, S.L."
GRUPO ABANDO
"CENTRO SOCIO-SANITARIO PLAZA, S.L."
"RESIDENCIA GERIATRICA CAN FONT, S.L."
"EDICLINIC SOCIETAT INMOBILIARIA, S.L."
ASOCIACIÓN EL ALBA
"SANT FRANCESC D'ASSIS, S.L."
"RESIDENCIA GERIATRICA PALAU, S.L."
"RESIDENCIA FONT FARGAS, S.L."
"RESIDENCIA NAVAS ALTAS, S.L."
"HOGAR BILBILITANO, S.L."
"CENTRO GERIATRICO EL VEDAT, S.L."
"HOGARCEL, S.L."
GRUPO SERCOVAL
"NOVALLAR DE MEDIONA, S.L."
"SANITAS MAYORES NAVARRA, S.L."
"RESIDENCIA PEÑAS ALBAS, S.L."
"SERVICIOS SOCIALES OLMAR, S.L."
CONSORCIO SANITARIO DE MOLLET DEL VALLES
"EMILIA MICHELENA, S.L."
"RESIDENCIA JOSÉ EMILIO, S.L."
"RESIDENCIA ALAMEDA 2002, S.L."
"SANATORIO DE USURBIL, S.L."
"CLÍNICA RESIDENCIA EL PINAR, S.L."
"HM MACAT, S.A."
"CLINICA SAN ROQUE, S.A."
"COMPLEJO MAR BELLA, S.A."
"HOSPITAL NISA SEVILLA ALJARAFE, S.L."
"RESIDENC. PARA MAYORES MEDITERRANEA, S.L."
"CENTRE ACTIU, S.L."
"HOSPITEN LANZAROTE, S.L."
"RESIDENCIAL CASTELLÓN SERVICIOS INTEGRALES TERCERA EDAD, S.A."
"INSTITUTO GERIATRICO MEDITERRANEO, S.L."
"HOSTAL RESIDENCIA AVDA.COSCULLUELA, S.L."
"COSTA HIRIS, S.L."
"PROMOCIONES LLORET, S.L."
"RESIDENCIA ALHAMAR, S.L."
"HORECID, S.L."
"CENTRO GERONTOLÓGICO DE ABLAÑA, S.A."
"ILERDA RESIDENCIAL, S.A."
"SERGESA CASTILLA, S.A."
"C.INTEGRAL ANCIANOS MENENDEZ PELAYO, S.L."
"RESIDENCIA MAYORES PUERTA DE HIERRO, S.L."
"RESIDENCIA NOVA SANTA ANA, S.L."
"RESIDENCIA COMUNIDAD DE VALENCIA, S.L."
"VITALIA SANTA FE, S.L."
"RESIDENCIA TEULADA MORAIRA, S.L."
"LAS CELINDAS RES. PARA MAYORES, S.L."
"CAL TEI, S.L."
"NUEVA FAMILIA RESIDENCIA ENCARNACIÓN SEGURA TÁRRAGA, S.L."
"SERVICIOS GERIÁTRICOS DEL ALMANZORA, S.L."
"RESIDENCIA GUADARRAMA-ESCORIAL, S.L."
"RESIDENCIA TERCERA EDAT CAP BLAU, S.L."
"PLANIGER MILLENIUM, S.A."
"ECOPLAR CANTABRIA, S.L."
"CENTRO DE MAYORES VALDEMORO, S.A."
"RESIDENCIA LOS ENLACES, S.L."
"RESIDENCIAL JUCAR, S.L."
"RUIZJUS, S.L."
"HOSPITAL EL ÁNGEL, S.A."
"SANATORIO QUIRÚRGICO VIRGEN DEL MAR, S.A."
"CLÍNICA SANTA ELENA, S.A."
"GEROPLAN, S.A."
"CLINICA NUESTRA SEÑORA DEL CARMEN, S.A."
"PRYTANIS, S.A."
"GERIATRIC DEL MARESME, S.L."
"CLINICA MEDICO QUIRURGICA SAN JOSE, S.A."
"RENUSA RESIDENCIA, S.L."
"RESIDENCIA ACALIA, S.A."
"ROBLEDO Y RODRÍGUEZ, S.L."
"MARRUPE SANTA ISABEL, S.L."
"RESIDENCIA GERIÁTRICA SAN DIEGO, S.L.L."
"HOGAR ASISTENCIAL PARA EL ANCIANO, S.A."
"RESIDENCIA GERIATRICA LA PALOMA, S.A."
"CENTRO RESID.DE TERCERA EDAD LA LUZ, S.L."
"CENTRO GERIÁTRICO MANANTIAL, S.A."
"RESIDENCIAS STA. MARIA DEL HENARES, S.A."
REAL DE NAVALMORAL PARA MAYORES - GRUPO
"EDIFICIO GERIÁTRICO VALMONTE, S.L."
"RESIDENCIA FATIMA, S.L."
"SOTO FRESNO, S.L."
"R.TERCERA EDAD VIRGEN DE LOS REMEDIOS, S.L."
"RESIDENCIAS LA JAROSA Y VISTASIERRA, S.L."
"CENTRO RESIDENCIAL LOS VILLARES, S.L."
"RESIDENCIA GERIÁTRICA NUESTRA SEÑORA DE LA LUZ, S.L."
"SACAPI, S.L."
"GERIATRIC ARAGO, S.L."
"RESIDENCIA BUENDÍA, S.L."
"CLINSA, S.A."
"RESIDENCIA GERIATRICA PRADO VERDE, S.L."
"NIBUR 2000, S.A."
"RESID.MAYORES NTRA.SRA. DEL ROSARIO, S.L."
"GESRESAN SIGLO XXI, S.A."
"AMAYA SPORT, S.L."
"NORVIL, S.A."
"AMICA LAVANDERÍAS - SOEMCA EMPLEO, S.L."
"CABAÑAS E HIJOS, S.A."
"MANCIVENT, S.L."
"RESIDENCIAS AITA Y AMA BARAKALDO, S.L."
"SUMA SOCIAL Y SERVICIOS, S.L."
"SOREMAY BERGUER, S.L."
"CLÍNICA BOFILL, S.L."
"ASISTENCIAL EUROPEA REIFS, S.L."
"TORRICO RESIDENCIA, S.L."
"OSVENTOS INNOVACIÓN EN SERVIZOS, S.L."
"ARTRIS 2000 SERVEIS SOCIALS, S.C.C.L."
"GALICIA 2000, S.L."
"REVESTIMIENTOS ESPECIALES GARCÍA, S.A."
"ROA PROCOINSA, S.L. - DIVISIÓN GERIÁTRICOS"
ASOCIACIÓN VESTA SALUD Y VIDA 
"ATENCIÓN COMUNITARIA ASISTENCIAL INTEGRAL, S.L."
"RESIDENCIA MORÁN MENDAÑA, S.L."
"RESIDENCIA CUESTA LA PIEDRA, S.L."
"RESIDENCIA PARA MAYORES ALTAGRACIA, S.L."
"GRUPO GONZÁLEZ DE LA BUSTA, S.L."
"GAVIN Y ACERO, S.L."
"GRUP CABEROL DE SERVEIS, S.L."
"RESIDENCIA DE MAYORES VIRGEN DE COVADONGA, S.L."
"CENTRO ASISTENCIAL RESIVAL, S.L."
"RESIDENCIA DE MAYORES SAN GREGORIO DE TORREPEROGIL, S.L."
"RESIDENCIA ARBILDU, S.A."
"DIONISIO MIGUEL LEAL Y ESPOSA, CB"
"R. G. MURIEDAS, S.L."
"POLVAZARES, S.L."
"RESIDENCIA EL SIGLO DE ORO, S.L."
"FLOPEG 18, S.L."
FUNDACIÓ FIELLA
SDAD COOP AND RESIDENCIA DE MAYORES FTE DE LA PEÑA
"SERVICIOS Y ASISTENCIAS LA AMISTAD, S.L."
HIJAS DE LA CARIDAD DE SAN VICENTE PAUL
"COMPAÑÍA DE SERVICIOS SOCIALES SAN IGNACIO, S.A."
"ROBLES CENTRO GERIÁTRICO, S.L."
"RESIDENCIA LONTANANZA GESTIÓN, S.L."
FUNDACIÓN EL BALCÓN DE LA ZUBIA
"RESIDENCIA VIRGEN DE LA CAPILLA, S.L."
"RESIDENCIA PARA MAYORES SIERRA DE CAZORLA, S.L."
"GALPALO, S.R.L."
"SERVICIOS Y CUIDADOS LA AMISTAD, S.L."
FUNDACIÓN PÚBLICA LOCAL VÍRGEN DEL BUENSUCESO
"RESIDENCIA DE LA TERCERA EDAT ELS AVETS, S.L."
FUNDACIÓ PRIVADA HOSPITAL DE SANTA LLUCIA
"XARTEXSAN, S.L."
"ANGOMED SENIOR LIVING MONTEBELLO, S.L."
"LA SOLANA DE BANYOLES, S.L."
ESTEFANÍA GARCÍA MERINO
"RONDA DE DALT RESIDENCIAL, S.L."
"ASISTENCIAL RUBÍ, S.L."
"ROYAL LLAR, S.L."
"HOGAR GERIÁTRICO COLOMA, S.L."
OBRA RELIGIOSA SOCIAL - ORS
"RESIDENCIA MONTCAU MATADEPERA, S.L."
"RESIDENCIA LLAR ROSER, S.L."
"PRIMIBARBA, S.L."
"ATENCIÓN INTEGRAL PERSONALIZADA, S.L."
"DARUMONT SERVEIS GERIATRICS, S.L."
"FINA VERNET, S.L."
"RESIDENCIA GERIÁTRICA LA MERCE, S.L."
"CENTRE GERIATRIC DEL BAGES, S.L."
"SERVICIOS DE DEPENDENCIA CUIDAMOS DE TI, S.L."
AYUNTAMIENTO DE JARANDILLA DE LA VERA
"RESIDENCIA MOLL DE LA FUSTA, S.L."
"CALAF RAJO Y ASOCIADOS, S.L."
"RESIDENCIA D'AVIS SOL I NATURA, S.L."
"TROMA LAVOISIER, S.L."
"CENTRO DE DÍA Y SERVICIOS GERIÁTRICOS ROMA, S.L."
"RESIDENCIA NORD EGARA, S.L."
"RESIDENCIAL ALBI BEADE, S.L."
"INSTITUTO IGIN, S.L."
"PLAN SENIOR, S.L. (GRUPO PUENTE)"
"RESIDENCIAS GARCIA PUENTE, S.L. (GRUPO PUENTE)"
"ILEX Y SORGUI, S.L. (MONDEILEX SERVICIOS SOCIOSANITARIOS)"
"KERSIA IBÉRICA, S.L.U."
"BELLOLAR FOGAR RESIDENCIAL, S.L."
"GUADASOCIAL, S.L."
"RESIDENCIA MAZARREDO, S.L. (GRUPO LEKUONA)"
"GERIATRÍA ASTURIANA 2009, S.L."
"DÍAZ NARANJO, S.L."
"RESIDENCIA GADITANA, S.L."
"SANTA ANA, S.C."
"MALAGA MAYOR RESIDENCIAS, S.L."
"RESIDENCIA DE 3A EDAD CARLOS HAYA, S.L."
"ÁNIMAS DE VIDA, S.L."
ASOCIACIÓN BENÉFICA GERIÁTRICA
"RESIDENCIA CARMEN MENA, S.L."
"RESIDENCIA TAGORE, S.L.U."
"CONJUNTO RESIDENCIAL BETANIA GARDEN, S.L."
"NUEVAS ACTIVIDADES CONSTRUCTIVAS, S.A."
"LOREA SAN PRUDENCIO, S.L."
ASOCIACIÓN LOCAL DE JUBILADOS Y PENSIONISTAS DE ALCALÀ DE XIVERT
"COREY HOUSE, S.L."
"RESIDENCIA NUESTRO PADRE JESÚS, S.L."
"SIUL CARMONA, S.L."
"ASINSA RESIDENCIAS, S.L."
"GERICONFORT, S.L."
GEROGAR S.C.
LAR DO REGUEIRO SOCIEDAD COOPERATIVA GALLEGA
"HISTORIAS INOLVIDABLES RESIDENCIA DE ANCIANOS, S.L."
"RESIDENCIA MONTEJOS, S.L."
"IKATZBIZI, S.L."
"JARDINS DE CASTELLARNAU, S.L."
FUNDACIÓN CONIL SOLIDARIO
"CENTRO MEDICO INFANTA MERCEDES, S.L."
SENIORS RESIDENCIAS (GRUPO CLARIANE)
"ASERMUT, S.COOP."
MONTEPÍO Y MUTUALIDAD DE LA MINERÍA ASTURIANA - DIVISIÓN RESIDENCIAS
"GRUP VL GESTIÓ PATRIMONIAL, S.L. "
"GESTIÓN URBANÍSTICA ÁLAVA 2000, S.L."
"JARDÍN DE ENEKURI, S.L. (GRUPO JARDINES)"
"TESSA MEDIOAMBIENTAL, S.L."
"RESIDENCIA MERÁN, S.A."
"CENTRO MEDICO SAN RAFAEL, S.L."
"CLINICA SOMIO, S.L."
SERVICIOS ASISTENCIALES RIAZOR S.L.
"CENYT SALUD, S.L."
ANCORADOIRO SOCIEDADE COOP. GALEGA
"RESIDENCIA SANTA BARBARA DEL HORREO, S.L."
"RESIDENCIA OROBIDE, S.L. (GRUPO JARDINES)"
"RESIDENCIAL LAGO BARXETA, S.L."
"TESO DE LA CRUZ, S.L. "
"GERO VITALIA BURGOS, S.L."
"MONTEPARÍS MAYORES GESTIÓN, S.L."
"IMATEC GABINETES RADIOLÓGICOS, S.L."
"RESIDENCIA GERIÁTRICA VERDI, S.L."
"RESIDENCIA GERIÁTRICA AZALEA, S.L."
"CLÍNICA VISTAHERMOSA GRUPO HLA, S.L."
O LECER SENIOR CARE S.L.
CENTROS BUENDÍA LEÓN S.L.
"CENTRO LESCER, S.L."
"GESTORA SERVICIOS SANITARIOS ACYL, S.L."
SONIA OTERO HERNÁNDEZ
"MALDON, 52, S.L."
"CENTRO ASISTENCIAL SAN NICOLÁS, S.L."
"PINDOVAL E HIJOS, S.L."
"CLINICA VIRGEN DE LUJÁN, S.L."
"JOSE ALBERTO MUIÑOS, S.L.P."
"GARCINIA 12 DOS, S.L."
"EL MIRADOR DE L'ESTANY, S.L."
"SAKAM Y TÚ, S.L."
"IDEA SERVICIOS DE GESTION ASISTENCIAL, S.L."
"SAR ISLEÑA DE DEPENDENCIA, S.L."
"CENTENARI SALUD, S.L."
FUNDACIÓN PEPE IGLESIAS
ORDEN DE SAN AGUSTÍN
"CENTRO GERIÁTRICO JARDINES DEL PARTERRE, S.L."
"RESIDENCIA CORAZÓN DE MARÍA, S.L."
"SENIOR SERVICIOS INTEGRALES, S.A."
"INSTITUTO ODONTOLÓGICO CANARIO, S.L."
FUNDACIÓN RESIDENCIAS MONREAL-SAN JOSÉ
AYUNTAMIENTO CHILLARÓN DE CUENCA
"JIREYSA ALDEAMAYOR GOLF SENIOR, S.L."
"ASPY SALUD GLOBAL, S.L."
"CENTRO MÉDICO PUERTO CRUZ, S.A."
"ALAMARCA SANVITAL, S.L."
"LEOVIDA, S.L.L."
"INSTITUT MÈDIC D'ONCO-RADIOTERAPIA, S.L. (IMOR)"
"GERODAIMUS, S.L."
"RESIDENCIA LA VERGE DE L'ENOVA, S.L."
"LLAR DE MONTE JARQUE, S.L."
"BRASALS, S.L."
"ASISTENCIAL GERIÁTRICA SAN JUAN DE AZNALFARACHE, S.L."
"RESIDENCIA MONTEBARRIO, S.L."
"ROSO RODRIGUES, S.L."
"GERONTOIREGUA, S.L."
COMPAÑÍA DE MARÍA MARIANISTAS
CENTRO EVANGÉLICO FIEIDE DE ASISTENCIA A LA TERCERA EDAD
CONGREGACIÓN DE URSULINAS DE JESÚS
INSTITUTO DE LAS HIJAS DEL BUEN SALVADOR DE CAEN
DOMINICAS HIJAS DE NUESTRA SEÑORA DE NAZARETH
ASOCIACIÓN SAN JOAQUÍN Y SANTA ANA
JESUITAS
PEQUEÑA OBRA DE LA DIVINA PROVIDENCIA
IGLESIA DE SAN PEDRO APÓSTOL MAYOR DE GIJÓN
CONGREGACIÓN SAN PEDRO APÓSTOL
"RESIDENCIA DE MAYORES LOS ROSALES, S.L."
"GERONTOLÓGICO DE LLORENÇ, S.L."
"PERLADO PÉREZ DE VALLUERCA HERMANOS, C.B."
HERMANOS MARISTAS CARTAGENA
"CENTRO DE REPRODUCCIÓN ASISTIDA DE MARBELLA, S.L.P."
"NUESTRA SEÑORA VIRGEN DEL CARMEN DE CALAHORRA, S.L."
"ETIQA SOCIEDAD COOPERATIVA ANDALUZA, S.C.A."
"RESIDENCIA REAL DE POLIENTES, S.L."
"SERVIGER XXI MALLORCA, S.L."
MADIMEX CASTILLA-LA MANCHA
"LAR DE NOEGA, S.L."
"RESIDENCIA CENTRE PARC 5 ESTRELLAS, S.L."
NOVACAIXAGALICIA - DIVISIÓN OBRA SOCIAL
"TERAPIAS MÉDICAS DOMICILIARIAS, S.L."
"RESIDENCIA EL ESTANQUE, S.L."
AYUNTAMIENTO DE TORREQUEMADA
"INSTITUTO EXTREMEÑO DE REPRODUCCION ASISTIDA, S.L. (IERA)"
"UNIÓN GERIÁTRICA SERVITALIA, S.L."
"RESIDENCIA LES MASIES DE MOLLET, S.A."
FUNDACIÓN ASISTENCIAL AGUSTINA ARAGÓN - FUNDAZ
"GERÓN SERVICIOS ASISTENCIALES, S.L."
"CLÍNICA LA ANTIGUA, S.L."
"RESIDENCIAS Y SERVICIOS AL DEPENDIENTE, S.L."
"RESIDENCIAL CUGAT NATURA, S.L."
"LONGEVA, S.L."
"AS RODAS VIVENDA COMUNITARIA, S.L."
ASOCIACIÓN DE FAMILIARES DE ALZHEIMER LA ESTRELLA DE JAÉN
INSTITUCIÓN BENÉFICO SOCIAL PADRE RUBINOS
"COVINPA, S.L."
"GRUPO ANATEX EUROPA, S.L."
"RESIDENCIAS PARA VIVIR, S.L."
"RESIDENCIA GURUTXE, S.L.L."
"INSERCIÓN CANARIA, S.L."
ASSOCIACIÓ BENÈFICA LA CARITAT
"GESOCA SERVICIOS, S.L."
"GRUPO EGISSE SERVICIOS ASISTENCIALES, S.L."
"TALY PROYECTOS TERAPÉUTICOS Y FORMATIVOS, S.L."
CONGREGACIÓN HERMANAS TERCIARIAS FRANCISCANAS DEL REBAÑO DE MARÍA
CONGREGACIÓN SIERVAS DE LOS POBRES HIJAS DEL SAGRADO CORAZÓN DE JESÚS
CONGREGACIÓN RELIGIOSAS AMOR DE DIOS
OFTALMED CCT S.L.P.
"UNION GEREMA, S.L."
"INVERLASIK MAD II, S.L"
PATRONATO VIRGEN DE LAS NIEVES
PARROQUIA DE LA MADRE DE DIOS DE BEGOÑA
OBRA SAN LUIS DE LOS FRANCESES
ARZOBISPADO DE ZARAGOZA
HOGAR VIRGEN DE LA ESPERANZA
INSTITUTO DE LAS HERMANAS JOSEFINAS DE LA CARIDAD
ASOCIACIÓN CICERÓN PARA LA INSERCIÓN SOCIAL DE ANCIANOS
INSTITUCIÓN PARROQUIAL DE ASISTENCIA SOCIAL SAN BLAS
HERMANAS DE LA VIRGEN MARÍA DEL MONTE CARMELO
CAPUCHINAS MISIONERAS DEL TRABAJO
FRANCISCANAS DE LA PURÍSIMA CONCEPCIÓN
"CASTILLA INVERSIONES RESIDENCIALES, S.L."
"ECOPLAR SERRANILLOS, S.A."
"EXTREMEÑA DE GESTIÓN SANITARIA Y ESPECIALIDADES MÉDICAS, S.L."
AVOS FELICES S.L.
"RESIDENCIA TABIRA, S.L."
INSTITUT CATALÀ D'ONCOLOGIA
COMUNITAT TERAPÈUTICA DEL MARESME
FUNDACIÓN SANITARIA SANT JOSEP
"ORTHODONTIC AREA, S.L."
"SOCOERESMA, S.COOP.AND."
"LA SANTINA DOS, S.L."
"MONTSERRAT MARTÍN MORENO, S.L."
"LLAR RESIDENCIA PER A GENT GRAN CENTRE DE DÍA MEDINA, S.L."
AYUNTAMIENTO DE MARTÍN DE YELTES
"GERO VITALIA PALENCIA, S.L."
"RAMECO, S.L."
FUNDACIÓN CLUB DE LEONES
FUNDACIÓN VALENTIA HUESCA
UNICAJA - DIVISIÓN OBRA SOCIAL
FUNDACIÓN ESCORIZA
"CENTRO SOCIO SANITARIO LOGROÑO, S.L."
"GESTIÓN DE SISTEMAS PARA LA DEPENDENCIA, S.L."
"C R G COJIOR, S.L."
"CENTRO DE MAYORES ALICIA, S.L."
"BEL EDAD DE BEDIA, S.L."
FUNDACIÓN SUMMA HUMANITATE
FUNDACIO SANTA EULALIA
"KOLKWITZIA, S.L."
"XANIT HEALTH CARE MANAGEMENT, S.L. - GRUPO"
FUNDACIÓN BEATA SOR ANGELA DE LA CRUZ
FUNDACIÓN BENÉFICO ASISTENCIAL FRAY LEOPOLDO
FUNDACION BUENAFUENTE DEL SISTAL
FUNDACIÓ HOSPITAL SANT JOAN DE DEU DE MARTORELL
FUNDACIÓ PRIVADA RESIDENCIA 3 EDAT SANT JAUME
FUNDACIÓ PRIVADA LA NOSTRA LLAR SANTA ANNA
FUNDACIÓ PRIVADA GERMANS AYMAR I PUIG
FUNDACIÓN S. JUAN DE DIOS Y SAN RAFAEL
FUNDACIÓN PRIVADA DOMINGO BOCHACA
FUNDACIÓN RESIDENCIA EL CERRO
FUNDACIÓN SOCIAL VALENTÍN ARÉVALO
FUNDACIÓN TERCERA EDAD PALACIOS DE LA SIERRA
"DAR DIAFA, S.L."
FUNDACIÓ FAMILIA I BENESTAR SOCIAL
FUNDACIÓN SANTA EULALIA
FUNDACIÓN FRAGELA
FUNDACIÓN BENÉFICO SOCIAL STA. MARÍA DE LOS MÁRTIRES
"ROSALBA GESTION, S.L."
"BUSQUETS BANDRES, S.L."
"GESMAYOR GRUPO V, S.L."
"MASDEU HOGAR, S.L."
"RESIDENCIA VALLSERENA 2, S.L."
"RESIDENCIA SAN MIGUEL ARCANGEL, S.L."
"RESIDENCIA LESSEPS, S.L."
"NURIELO, S.L."
"SERVICIOS GERIATRICOS GRANADA, S.L."
"EUROPA ALOJAMIENTOS, S.L."
"RES. 3 EDAD PRINCESA, S.L."
"PIC-NIC MIRASIERRA, S.L."
"RESIDENCIA NUEVA DEL MILENIO CAMINO DE SANTIAGO, S.L."
"RESIDENCIA TORRE D'ESPLUGUES, S.L."
"RESIDENCIA LA INMACULADA, S.L."
"RESIDENCIA DIAZ AMBROS, S.L."
"RESSI BONAIRE, S.L."
"ROSA TEJEDOR, S.L."
"SERV.RES.DE QUALITAT ICARIA, S.L."
"RES. LA FONT DELS ENAMORATS, S.L."
FUNDACIÓN REDOS
"EDIFICACIONES Y HOTELES, S.L."
"RESIDENCIA L'ORENETA, S.L."
R.GER.SAGRAT COR DE BENAVENT DE SEGRIA
"CENTRE ASSISTENCIAL LA NOGUERA, S.L."
"MINIHOTEL DE LA 3 EDAD, S.L."
"RES. 3 EDAT CAN TARRIDA, S.L."
"ZENON GERIATRIC, S.L."
"CENTRE GERIATRIC DEL PIRINEU, S.L."
"RESIDENCIA BALLESAL, S.L."
"GRUPO R.E.S.Y.S., S.L."
FUNDACIÓ RESIDENCIA SANTA SUSSANA
FUNDACIÓN PRIVADA BELL REPOS DE SURIA
FUNDACIÓN HOGAR MADRE DE DIOS
FUNDACIÓN HOGAR RESIDENCIA S. JOSÉ
FUNDACIÓN RESIDENCIA ANCIANOS RIAZA-ROVIRA TARAZONA
FUNDACIO INSTITUT DEL DESERT DE SARRIA
FUNDACIÓN LEÓN TRUCIOS
FUNDACIÓN MASIDES
FUNDACIÓN RAUDENSE DE LA TERCERA EDAD
FUNDACIÓN HOSPITAL ASILO NTRA. SRA. DEL ROSARIO
FUNDACIÓN ASISTENCIAL RODRÍGUEZ DOCAMPO
FUNDACIÓN PRIVADA I BENÉFICA ASSIS
FUNDACIÓN PRIVADA CASA ASIL S. ANDREU DE PALOMAR
FUNDACIÓN RESIDENCIA CANUTO HEVIA
ASOCIACIÓN BENÉFICO HOSPITALARIA ASILO DE LUARCA
FUNDACIÓN PEDRO A. IGAREDA Y BALBAS
ASOCIACIÓN GIJONESA CARIDAD-ECOCINA ECONÓMICA
FUNDACIÓN ASILO TORRELAVEGA
FUNDACIÓN HOSPITAL S. SEBASTIAN
FUNDACIÓN BENÉFICA VIRGEN DE LA VEGA
ASOCIACIÓN CASA DE BENEFICENCIA VALLADOLID
FUNDACIÓN ARJONA VALERA
FUNDACIÓN NUESTRA SEÑORA DE MONTSERRAT
"RES. GERIATRICA CRISTO DE LA SALUD, S.L."
