MUTUALIA
"VESCOM HISPANIA, S.L."
"DOMETIC SPAIN, S.L."
"REFERENCE LABORATORY, S.A."
"SANI LABO, S.L.U."
"CRIVEL, S.A."
"AYUDAS TÉCNICAS ARABA, S.L."
"FUJIFILM SONOSITE IBÉRICA, S.L."
"LEXEL, S.L."
"INVACARE, S.A."
"BEANACA, S.A."
"EUROPEAN TELEMEDICINE CLINIC, S.L."
"IGUALATORIO MÉDICO QUIRÚRGICO COLEGIAL, S.A. DE SEGUROS"
"MH HEALTH CARE, S.L."
"ADIS HIGIENE, S.L."
"GERIALINE SOLUTIONS, S.L."
"GIVAS EQUIPAMENT IBERICA, S.L."
"HIGIENE GLOBAL ORBIS, S.L."
"ORICA PLUS, S.L."
"TECNOLOGÍA DE LA INFORMACIÓN CARE HEALTH CONSULTING, S.L. (TICH CONSULTING)"
"FREIRE CHICO, S.L. (AIRAS CATERING)"
"VERITAS INTERCONTINENTAL, S.L."
"HOSPITEN HOLDING, S.A. - GRUPO"
"ARALIA SERVICIOS SOCIOSANITARIOS, S.A."
"ABEX EXCELENCIA ROBÓTICA, S.L."
"IDADES, S.L."
"DANONE NUTRICIA, S.R.L."
"CSL BEHRING, S.A."
"SANICEN, S.A."
"AEGON ESPAÑA, S.A. DE SEGUROS Y REASEGUROS (AEGON SALUD)"
"WALDEMAR LINK ESPAÑA, S.A."
"SANGÜESA, S.A."
ADAS3D MEDICAL S.L.
"INMOTEC 2002, S.L. (GRUPO PHIBO)"
"SETENASA GESTIÓN, S.L."
"DONTE GROUP, S.L."
"DESARROLLOS HOSPITALARIOS HC 112, S.L. - GRUPO HOSPITALARIO HERNÁN CORTÉS"
GRUPO PODOACTIVA
"COMERCIAL PEDRO, S.A. (PEDROSA)"
"IBERNEX INGENIERÍA, S.L."
TOPCON EUROPE MEDICAL B.V. SUCURSAL EN ESPAÑA
GRUPO BEGON 
"ONNERA GROUP - FAGOR INDUSTRIAL, S.COOP. - GRUPO"
GRUPO CREUBLANCA
"CONSULTORÍA Y GESTIÓN SANITARIA, S.L."
"BAHÍA SOFTWARE, S.L."
"RESIDENCIAS ASISTENCIALES NIÑO JESÚS, S.L."
CLÍNICA ZUATZU S.L.P.
GRUPO VIAMED SALUD
"MAZARUBA, S.A."
MUTUA MONTAÑESA
