"BRICOINSA, S.L."
"EXIOM SOLUTION, S.A. - GRUPO"
"ELECTRO AVILÉS, S.A. (EASA)"
"S.T.V. GESTIÓN, S.L."
"DOMO GESTORA DE VIVIENDAS, S.L."
"TECHNOFORM BAUTEC IBÉRICA, S.L.U."
"MAQUINARIA Y SERVICIOS GARMO, S.L."
"AV ALUMITRÁN, S.L."
PLAFESA - GRUPO
"PLANIGESA, S.A."
GRUPO BERDIN
"GALILUX ELECTRICIDAD, S.L."
"GEZE IBERIA, S.R.L.U."
EUROGRÚAS HOLDING CORPORATIVO - GRUPO
"ALTAMIRA SANTANDER REAL ESTATE, S.A."
"GESIN EURO-2001, S.L."
"COMINDEX, S.A."
"COSERMO ESPAÑOLA CONSTRUCCIONES SERVICIOS Y MONTAJES, S.L."
"MEZCLAS BITUMINOSAS, S.A. (MEBISA)"
"ALCHIBESA, S.L."
"SUNCLEAR, S.A."
"ALUMINIO Y CARPINTERÍA, S.A. (ALCAR)"
"PROTECCIONES Y LACADOS, S.L. (PROYLAC)"
"TPF GETINSA EUROESTUDIOS, S.L."
"PUERTAS DILE, S.L."
"WINKHAUS IBÉRICA, S.A."
"INSTALLUX EXTRUSION SERVICES, S.L."
"JUNG ELECTRO IBÉRICA, S.A."
"KNIGHT FRANK ESPAÑA, S.A."
"LABORATORIOS RAYT, S.A.U."
"SANITARIOS BOSCO, S.A."
"COMERCIAL ELÉCTRICA DEL LLOBREGAT, S.A."
"SUAREP Y LLADÓ, S.A."
"TERMOBURGOS, S.A."
"ACCESSORIS SENCOR, S.A."
"HIESCOSA ARANDA HIERROS, S.L."
"COYSA SANITARIOS, S.L."
"CENTRO DE VENTAS INTERNACIONALES KOMERCIAL, S.A. (CEVIK)"
"DICOMAT, S.L."
"CAÑIZARES PIÑERO, S.A."
"HORMIGONES DEL ODÓN, S.L."
"GIESSE GROUP IBERIA, S.A."
"VIVIENDAS SOCIALES E INFRAESTRUCTURAS DE CANARIAS, S.A.U. - VISOCAN"
"HORMICRUZ, S.L."
"HOMAG ESPAÑA, S.A."
"FRANS BONHOMME ESPAÑA, S.L. "
"COMERCIAL PERALBA, S.A."
"DISTIPLAS FLOORS, S.L."
"HAGER SISTEMAS, S.A."
"SISTEMAS ALUMISAN, S.L."
"EXTRUSIONES DE TOLEDO, S.A. (EXTOL)"
"LOREFAR, S.L."
"HIERROS MARCELINO FRANCO, S.A. (HIFRANSA)"
"SALI SUMINISTROS, S.L."
"SUMINISTROS INDUSTRIALES COBSA, S.L."
"STANLEY BLACK & DECKER IBÉRICA, S.L."
"GRÚAS SAEZ, S.L."
"ASTIGLASS, S.L."
PRODESA
"PRESTO IBÉRICA, S.A."
"VITROMETAL, S.A."
"HAULOTTE IBÉRICA, S.L."
"PROMOCIONES HABITAT, S.A."
"EGGO STORES SPAIN, S.L. "
"ALUMINIOS DE BARCELONA, S.L."
"FULTON, S.A."
"IMPEX SUMINISTRES, S.L."
"DROGAS Y PINTURAS LA MODERNA, S.A."
"POYATOS EXPORT, S.A."
"VALEKTRA XXI, S.L"
"QUALITY FERRETERÍAS PLUS, S.C.C.L."
"QUIDE, S.A."
"HORNOS INDUSTRIALES PUJOL, S.A."
"HIJOS DE FRANCISCO MORANT, S.L. (LA ESPERANZA)"
"GUILLERMO FABIAN, S.L."
"SISTEMAS Y MONTAJES INDUSTRIALES, S.A."
"SOGESA INSTALACIONES INTEGRALES, S.A."
"COMERCIAL ARROYO CONSTRUCCIÓN, S.A."
"JOAQUÍN VERDÚ DÍAZ, S.L.U."
"MESIMA BILBAO, S.A."
"LA VENECIANA, S.A. (SAINT-GOBAIN GLASSOLUTIONS)"
